棒位	D棒价值	C棒价值	B棒价值	A棒价值	S棒价值
225	0	0	0	0	0
223.721591	-2.16	-2.16	-2.16	-2.16	-2.16
222.443182	-5.68	-5.68	-5.68	-5.68	-5.68
221.164773	-8.63	-8.63	-8.63	-8.63	-8.63
219.886364	-11.38	-11.38	-11.38	-11.38	-11.38
218.607955	-14.01	-14.01	-14.01	-14.01	-14.01
217.329545	-16.56	-16.56	-16.56	-16.56	-16.56
216.051136	-19.01	-19.01	-19.01	-19.01	-19.01
214.772727	-21.37	-21.37	-21.37	-21.37	-21.37
213.494318	-23.64	-23.64	-23.64	-23.64	-23.64
212.215909	-26.42	-26.42	-26.42	-26.42	-26.42
210.9375	-31.77	-31.77	-31.77	-31.77	-31.77
209.659091	-38.61	-38.61	-38.61	-38.61	-38.61
208.380682	-44.83	-44.83	-44.83	-44.83	-44.83
207.102273	-50.53	-50.53	-50.53	-50.53	-50.53
205.823864	-55.82	-55.82	-55.82	-55.82	-55.82
204.545455	-60.8	-60.8	-60.8	-60.8	-60.8
203.267045	-65.46	-65.46	-65.46	-65.46	-65.46
201.988636	-69.83	-69.83	-69.83	-69.83	-69.83
200.710227	-73.91	-73.91	-73.91	-73.91	-73.91
199.431818	-79.08	-79.08	-79.08	-79.08	-79.08
198.153409	-86.51	-86.51	-86.51	-86.51	-86.51
196.875000	-94.67	-94.67	-94.67	-94.67	-94.67
195.596591	-102.19	-102.19	-102.19	-102.19	-102.19
194.318182	-109.11	-109.11	-109.11	-109.11	-109.11
193.039773	-115.51	-115.51	-115.51	-115.51	-115.51
191.761364	-121.46	-121.46	-121.46	-121.46	-121.46
190.482955	-127.03	-127.03	-127.03	-127.03	-127.03
189.204545	-132.23	-132.23	-132.23	-132.23	-132.23
187.926136	-137.1	-137.1	-137.1	-137.1	-137.1
186.647727	-143.46	-143.46	-143.46	-143.46	-143.46
185.369318	-151.96	-151.96	-151.96	-151.96	-151.96
184.090909	-160.63	-160.63	-160.63	-160.63	-160.63
182.8125	-168.54	-168.54	-168.54	-168.54	-168.54
181.534091	-175.83	-175.83	-175.83	-175.83	-175.83
180.255682	-182.58	-182.58	-182.58	-182.58	-182.58
178.977273	-188.85	-188.85	-188.85	-188.85	-188.85
177.698864	-194.71	-194.71	-194.71	-194.71	-194.71
176.420455	-200.19	-200.19	-200.19	-200.19	-200.19
175.142045	-205.32	-205.32	-205.32	-205.32	-205.32
173.863636	-212.42	-212.42	-212.42	-212.42	-212.42
172.585227	-221.5	-221.5	-221.5	-221.5	-221.5
171.306818	-230.19	-230.19	-230.19	-230.19	-230.19
170.028409	-236.94	-236.94	-236.94	-236.94	-236.94
168.750000	-246.89	-246.89	-246.89	-246.89	-246.89
167.471591	-253.79	-253.79	-253.79	-253.79	-253.79
166.193182	-260.74	-260.74	-260.74	-260.74	-260.74
164.914773	-267.79	-267.79	-267.79	-267.79	-267.79
163.636364	-274.87	-274.87	-274.87	-274.87	-274.87
162.357955	-281.83	-281.83	-281.83	-281.83	-281.83
161.079545	-288.59	-288.59	-288.59	-288.59	-288.59
159.801136	-295.27	-295.27	-295.27	-295.27	-295.27
158.522727	-301.94	-301.94	-301.94	-301.94	-301.94
157.244318	-306.29	-306.29	-306.29	-306.29	-306.29
155.965909	-315.48	-315.48	-315.48	-315.48	-315.48
