时间轴	源量程	源程反应性	中间量程	中间反应性	功率量程	功率反应性	硼浓度PPM	D棒位	备注说明
标志->	0	7	1	7	2	7	5	3	3
0.000000	8.003932	0.000000	8.003932E-14	0.000000	2.301131E-14	0.000000	1.000000	112.500000	NaN
0.100000	8.000966	0.000000	8.000966E-14	0.000000	2.300278E-14	0.000000	1.000000	112.500000	NaN
0.200000	8.003481	0.000000	8.003481E-14	0.000000	2.301001E-14	0.000000	1.000000	112.500000	NaN
0.300000	8.001616	0.000000	8.001616E-14	0.000000	2.300465E-14	0.000000	1.000000	112.500000	NaN
0.400000	8.003232	0.000000	8.003232E-14	0.000000	2.300929E-14	0.000000	1.000000	112.500000	NaN
0.500000	8.002067	0.000000	8.002067E-14	0.000000	2.300594E-14	0.000000	1.000000	112.500000	NaN
0.600000	8.003111	0.000000	8.003111E-14	0.000000	2.300895E-14	0.000000	1.000000	112.500000	NaN
0.700000	8.002390	0.000000	8.002390E-14	0.000000	2.300687E-14	0.000000	1.000000	112.500000	NaN
0.800000	8.003071	0.000000	8.003071E-14	0.000000	2.300883E-14	0.000000	1.000000	112.500000	NaN
0.900000	8.002631	0.000000	8.002631E-14	0.000000	2.300757E-14	0.000000	1.000000	112.500000	NaN
1.000000	8.003081	0.000000	8.003081E-14	0.000000	2.300886E-14	0.000000	1.000000	112.500000	NaN
1.100000	8.002819	0.000000	8.002819E-14	0.000000	2.300811E-14	0.000000	1.000000	112.500000	NaN
1.200000	8.003122	0.000000	8.003122E-14	0.000000	2.300898E-14	0.000000	1.000000	112.500000	NaN
1.300000	8.002972	0.000000	8.002972E-14	0.000000	2.300855E-14	0.000000	1.000000	112.500000	NaN
1.400000	8.003181	0.000000	8.003181E-14	0.000000	2.300914E-14	0.000000	1.000000	112.500000	NaN
1.500000	8.003102	0.000000	8.003102E-14	0.000000	2.300892E-14	0.000000	1.000000	112.500000	NaN
1.600000	8.003251	0.000000	8.003251E-14	0.000000	2.300935E-14	0.000000	1.000000	112.500000	NaN
1.700000	8.003217	0.000000	8.003217E-14	0.000000	2.300925E-14	0.000000	1.000000	112.500000	NaN
1.800000	8.003327	0.000000	8.003327E-14	0.000000	2.300956E-14	0.000000	1.000000	112.500000	NaN
1.900000	8.003321	0.000000	8.003321E-14	0.000000	2.300955E-14	0.000000	1.000000	112.500000	NaN
2.000000	8.003406	0.000000	8.003406E-14	0.000000	2.300979E-14	0.000000	1.000000	112.500000	NaN
2.100000	8.003417	0.000000	8.003417E-14	0.000000	2.300982E-14	0.000000	1.000000	112.500000	NaN
2.200000	8.003486	0.000000	8.003486E-14	0.000000	2.301002E-14	0.000000	1.000000	112.500000	NaN
2.300000	8.003508	0.000000	8.003508E-14	0.000000	2.301009E-14	0.000000	1.000000	112.500000	NaN
2.400000	8.003567	0.000000	8.003567E-14	0.000000	2.301025E-14	0.000000	1.000000	112.500000	NaN
2.500000	8.003595	0.000000	8.003595E-14	0.000000	2.301034E-14	0.000000	1.000000	112.500000	NaN
2.600000	8.003647	0.000000	8.003647E-14	0.000000	2.301049E-14	0.000000	1.000000	112.500000	NaN
2.700000	8.003680	0.000000	8.003680E-14	0.000000	2.301058E-14	0.000000	1.000000	112.500000	NaN
2.800000	8.003727	0.000000	8.003727E-14	0.000000	2.301071E-14	0.000000	1.000000	112.500000	NaN
2.900000	8.003761	0.000000	8.003761E-14	0.000000	2.301081E-14	0.000000	1.000000	112.500000	NaN
3.000000	8.003805	0.000000	8.003805E-14	0.000000	2.301094E-14	0.000000	1.000000	112.500000	NaN
3.100000	8.003841	0.000000	8.003841E-14	0.000000	2.301104E-14	0.000000	1.000000	112.500000	NaN
3.200000	8.003882	0.000000	8.003882E-14	0.000000	2.301116E-14	0.000000	1.000000	112.500000	NaN
3.300000	8.003919	0.000000	8.003919E-14	0.000000	2.301127E-14	0.000000	1.000000	112.500000	NaN
3.400000	8.003959	0.000000	8.003959E-14	0.000000	2.301138E-14	0.000000	1.000000	112.500000	NaN
3.500000	8.003995	0.000000	8.003995E-14	0.000000	2.301149E-14	0.000000	1.000000	112.500000	NaN
3.600000	8.004034	0.000000	8.004034E-14	0.000000	2.301160E-14	0.000000	1.000000	112.500000	NaN
3.700000	8.004071	0.000000	8.004071E-14	0.000000	2.301170E-14	0.000000	1.000000	112.500000	NaN
3.800000	8.004108	0.000000	8.004108E-14	0.000000	2.301181E-14	0.000000	1.000000	112.500000	NaN
3.900000	8.004145	0.000000	8.004145E-14	0.000000	2.301192E-14	0.000000	1.000000	112.500000	NaN
4.000000	8.004182	0.000000	8.004182E-14	0.000000	2.301202E-14	0.000000	1.000000	112.500000	NaN
4.100000	8.004217	0.000000	8.004217E-14	0.000000	2.301213E-14	0.000000	1.000000	112.500000	NaN
4.200000	8.004254	0.000000	8.004254E-14	0.000000	2.301223E-14	0.000000	1.000000	112.500000	NaN
4.300000	8.004289	0.000000	8.004289E-14	0.000000	2.301233E-14	0.000000	1.000000	112.500000	NaN
4.400000	8.004325	0.000000	8.004325E-14	0.000000	2.301243E-14	0.000000	1.000000	112.500000	NaN
4.500000	8.004360	0.000000	8.004360E-14	0.000000	2.301254E-14	0.000000	1.000000	112.500000	NaN
4.600000	8.004396	0.000000	8.004396E-14	0.000000	2.301264E-14	0.000000	1.000000	112.500000	NaN
4.700000	8.004430	0.000000	8.004430E-14	0.000000	2.301274E-14	0.000000	1.000000	112.500000	NaN
4.800000	8.004465	0.000000	8.004465E-14	0.000000	2.301284E-14	0.000000	1.000000	112.500000	NaN
4.900000	8.004500	0.000000	8.004500E-14	0.000000	2.301294E-14	0.000000	1.000000	112.500000	NaN
